response,is_correct,nback_type,rt,participant,session,date
,1.0,1.0,,200,pink,2023-11-18_15h34.14.289
['space'],1.0,1.0,[0.4634935419890098],200,pink,2023-11-18_15h34.14.289
,1.0,1.0,,200,pink,2023-11-18_15h34.14.289
['space'],1.0,1.0,[0.4890150830033235],200,pink,2023-11-18_15h34.14.289
['space'],1.0,1.0,[0.5423524579964578],200,pink,2023-11-18_15h34.14.289
,1.0,1.0,,200,pink,2023-11-18_15h34.14.289
,1.0,1.0,,200,pink,2023-11-18_15h34.14.289
['space'],1.0,1.0,[0.554338457994163],200,pink,2023-11-18_15h34.14.289
['space'],1.0,1.0,[0.47537404199829325],200,pink,2023-11-18_15h34.14.289
,1.0,1.0,,200,pink,2023-11-18_15h34.14.289
,,,,200,pink,2023-11-18_15h34.14.289
,1.0,1.0,,200,pink,2023-11-18_15h34.14.289
,1.0,1.0,,200,pink,2023-11-18_15h34.14.289
,1.0,1.0,,200,pink,2023-11-18_15h34.14.289
,1.0,1.0,,200,pink,2023-11-18_15h34.14.289
,0.0,1.0,,200,pink,2023-11-18_15h34.14.289
,1.0,1.0,,200,pink,2023-11-18_15h34.14.289
,1.0,1.0,,200,pink,2023-11-18_15h34.14.289
,1.0,1.0,,200,pink,2023-11-18_15h34.14.289
['space'],1.0,1.0,[0.478651000012178],200,pink,2023-11-18_15h34.14.289
['space'],1.0,1.0,[0.5180191249819472],200,pink,2023-11-18_15h34.14.289
